Set Name,Type (Flashcard/Quiz),Question / Front,Answer / Back,Options (for Quiz),Correct Answer (for Quiz)
Flashcards - General,Flashcard,What is the legal corporate name of the company doing business as SkyCare Air Ambulance & Charters?,2080061 Ontario Inc.,,
Flashcards - General,Flashcard,How are significant changes in content and meaning indicated within the Company Operations Manual (COM)?,Significant changes in content and meaning are indicated by horizontal change bars located in the right-hand margin.,,
Flashcards - General,Flashcard,"Once an amendment is approved by Transport Canada, within how many days must it be inserted into the Manual?",The amendment must be inserted into the Manual within 30 days by the individual or organization listed on the Master Distribution List.,,
Flashcards - General,Flashcard,Flight crew members must advise the company if they have not received a new license document within how many days of an endorsement?,No later than sixty (60) days after the date of endorsement.,,
Flashcards - General,Flashcard,"What operational conditions always require Chief Pilot approval, regardless of dispatch release level?","1) No PAPI and/or VNAV, 2) IMC Circling Approach, 3) Slush runway conditions, 4) Lodge runways, and 5) Any non-standard operations.",,
Flashcards - General,Flashcard,Where is the current information on the locations of the air operator's aeroplanes maintained at the main base?,"At the main base of operations, specifically at the flight follower's desk.",,
Flashcards - General,Flashcard,Who is responsible for passing messages concerning landings and departures to the Company Flight Follower?,The Pilot in Command (PIC).,,
Flashcards - General,Flashcard,What are the Sat Tracker reporting intervals for airborne versus stationary aircraft?,Intervals are set for 10 minutes while airborne and 1 hour when stationary.,,
Flashcards - General,Flashcard,Flight followers must provide advance written notice of international flights to the FAA using which form?,FAA Form A001 (notifying the responsible Flight Standards District Office (FSDO) by fax or email).,,
Flashcards - General,Flashcard,What is the prohibited practice for revenue passengers during international operations in the USA?,Revenue passengers may not be transported from point to point within the U.S.A. (cabotage restriction).,,
Flashcards - General,Flashcard,For how long must Operational Flight Plans (OFPs) be retained?,OFPs must be retained for a period of six months.,,
Flashcards - General,Flashcard,If a Medevac delay exceeds how many minutes must a reason be recorded in the Pilot notes of the flight envelope?,Exceeding 60 minutes. This applies to all flight legs.,,
Flashcards - General,Flashcard,"If a passenger refuses to be weighed, how is their 'volunteered weight' adjusted for calculation?","10 lbs is added to the volunteered weight, plus the clothing allowance (8 lbs in summer, 14 lbs in winter).",,
Flashcards - General,Flashcard,What are the clothing weight allowances for Summer and Winter under SkyCare's W&B system?,Summer: 8 lbs (April 1st - Oct 31st). Winter: 14 lbs (Nov 1st - Mar 31st).,,
Flashcards - General,Flashcard,"According to the segmented weight chart, what is the standard weight used for an infant (under 2 years)?",30 lbs.,,
Flashcards - General,Flashcard,Which type of company communication is utilized to provide rapid dissemination of 'operationally critical' information to flight crews?,Operational (Ops) Directive (requires an electronic 'Read and Understood' statement from pilots).,,
Flashcards - General,Flashcard,What is the primary difference between an Ops Directive and an Ops Bulletin?,Ops Directives are for operationally critical information and require pilot read-and-understood tracking. Ops Bulletins are for non-critical information and do not have a sign-off procedure.,,
Flashcards - General,Flashcard,What is used as the primary means for the Technical Dispatch of an aircraft?,The aircraft Journey Logbook.,,
Flashcards - General,Flashcard,Where are the due dates for deferred defects located in the aircraft Journey Logbook?,On the 'Deferred Defect List' located on the inside cover of each aircraft Journey Logbook.,,
Flashcards - General,Flashcard,"Who is responsible for the development, maintenance, distribution, and amendment of the Company Operations Manual?",The Operations Manager (Shawn Roy).,,
Flashcards - General,Flashcard,"How are changes to spelling, grammar, headers, and Table of Contents indicated in COM amendments?","No change bars are inserted for formatting, spelling/grammar corrections, Table of Contents, List of Effective Pages, headers, footers, or text shifting onto new pages.",,
Flashcards - General,Flashcard,Who is the Accountable Executive of SkyCare?,Frank Behrendt (who is also the President and Chief Pilot).,,
Flashcards - General,Flashcard,What are the exact duties of the Person Responsible for Maintenance (PRM)?,"Planning/control of all maintenance, liaison with Transport Canada and the AMO, and removing non-compliant or unsafe aircraft from operation.",,
Flashcards - General,Flashcard,What subparts under CARs is SkyCare certified to operate?,"CAR 702 (Aerial Work rated for firefighting, forest, and wildlife management), CAR 703 Air Taxi, and CAR 704 Commuter.",,
Flashcards - General,Flashcard,What dispatch release level delegates full self-dispatch authority to a Captain?,Self-Dispatch Release (reserved for senior captains with a proven decision-making record).,,
Flashcards - General,Flashcard,"When on an IFR Flight Plan in controlled airspace, what changes require an air traffic control clearance before execution?","Cruising altitude/flight level, route, destination aerodrome, true airspeed, or Mach number.",,
Flashcards - General,Flashcard,To whom must ferry flight requests be made for verbal authorization?,The Operations Manager or his delegate.,,
Flashcards - General,Flashcard,Under what conditions is a Flight Permit required for a ferry flight?,"Whenever the Certificate of Airworthiness (C of A) is not in force (e.g. overdue inspection, damage, unserviceability).",,
Flashcards - General,Flashcard,To whom must test flight and training flight requests be made for verbal authorization?,The Chief Pilot or his delegate.,,
Flashcards - General,Flashcard,Under what conditions will SkyCare refuse to transport a person?,"If their actions or statements indicate they present a risk to safety, specifically including individuals whose judgment appears impaired by alcohol or illegal drugs.",,
Flashcards - General,Flashcard,What files must be kept on the pilot drive and are controlled by the Operations Manager to prevent direct editing?,"Excel-based Master Operational Flight Plans (OFPs), which have certain directed cells locked from editing.",,
Flashcards - General,Flashcard,What must be complete and carried on board for every flight?,A completed Excel-based Company Operational Flight Plan (OFP).,,
Flashcards - General,Flashcard,Where is the master distribution list copy #1 of the SkyCare COM kept?,Transport Canada.,,
Flashcards - General,Flashcard,How are un-airworthy defects deferred if they occur away from base?,"The PIC may defer the defect after consulting with the PRM/delegate, if trained in Elementary Work, and entered with the name/ACA number of the authorizing person.",,
Flashcards - General,Flashcard,What is the requirement for MEL deferred defects designated as (M#)?,(M#) denotes 'MAINTENANCE PERSONNEL REQUIRED'—flight crews are strictly prohibited from performing these procedures; maintenance staff must action the defect.,,
Flashcards - General,Flashcard,What must the Pilot in Command do before making a go/no-go decision with multiple inoperative MEL items?,Check for multiple inoperative items and carefully consider their interrelationship and the resultant effect on aircraft operation and crew workload.,,
Flashcards - General,Flashcard,What standard weight is used for a child aged 2-11 in the summer (no carry-on allowed)?,75 lbs.,,
Flashcards - General,Flashcard,Is fueling permitted with aircraft engines running at SkyCare?,"No, fueling with engines running is strictly prohibited.",,
Flashcards - General,Flashcard,What is the Clean Aircraft Concept?,"The prohibition of take-off when frost, ice, or snow is adhering to any critical surface (wings, propellers, stabilizers, control surfaces).",,
Flashcards - General,Flashcard,What are the three aircraft types listed in the recency PPC/PCC summary table?,"Metro III (SW4), Fairchild Merlin IIIB (SW3), Piper PA31 Navajo, Westwind 1124, and Westwind 1125 Astra.",,
Flashcards - General,Flashcard,What must be used to report an aviation occurrence or incident quickly?,"Reported immediately to the Operations Manager/delegate, who reports to the Transportation Safety Board (TSB).",,
Flashcards - General,Flashcard,"What are the emergency transponder codes for communication failure, in-flight emergency, and unlawful interference?",Communication Failure: 7600 | In-flight Emergency: 7700 | Unlawful Interference: 7500.,,
Flashcards - General,Flashcard,Under what operational airspace conditions is an aircraft exempt from carrying survival equipment?,"Within 25 NM of aerodrome with radio, or multi-engine IFR flight south of 66° 30' N within controlled airspace / along designated routes.",,
Flashcards - General,Flashcard,What basic survival gear is required for land flights?,"Waterproof matches, shelter, water purification tablets, signal panel, signal mirror, hand axe (hatchet), survival knife, survival manual, and instructions.",,
Flashcards - General,Flashcard,When must life preservers be carried for each person on board?,When flights are operated over water beyond 50 NM from shore.,,
Flashcards - General,Flashcard,Under what condition is a Cockpit Voice Recorder (CVR) mandatory?,"When the aircraft is a multi-engine turbine configured for six or more passenger seats, and two pilots are required by type certificate or subpart.",,
Flashcards - General,Flashcard,"If a CVR becomes unserviceable, for how long may the aeroplane be operated?","Maximum period of 90 days from the date of failure, with entry in tech records and a placarded warning in full view of the pilot.",,
Flashcards Section 5,Flashcard,Mnemonic for Charter Flight Time Limits: 10-3-1. What does '10' represent?,1000 hours of flight time in any 365 consecutive days.,,
Flashcards Section 5,Flashcard,Mnemonic for Charter Flight Time Limits: 10-3-1. What does '3' represent?,300 hours of flight time in any 90 consecutive days.,,
Flashcards Section 5,Flashcard,Mnemonic for Charter Flight Time Limits: 10-3-1. What does '1' represent?,112 hours of flight time in any 30 consecutive days (reminder of the 100+ threshold).,,
Flashcards Section 5,Flashcard,What is the maximum flight time limit in a 24-hour period for single-pilot IFR charter operations?,8 hours in any 24 consecutive hours.,,
Flashcards Section 5,Flashcard,What is the definition of a 'Green' Captain under the Green-on-Green Policy?,A Captain with less than 100 hours PIC on type and less than 100 hours at the Company.,,
Flashcards Section 5,Flashcard,What is the definition of a 'Green' First Officer under the Green-on-Green Policy?,A First Officer with less than 100 hours on type and less than 100 hours at the Company.,,
Flashcards Section 5,Flashcard,Can a Green Captain and a Green First Officer be paired together?,"No, the Green-on-Green policy strictly prohibits pairing them together, unless specifically exempted by the Chief Pilot.",,
Flashcards Section 5,Flashcard,What is the maximum number of hours of work allowed for a charter pilot in 365 consecutive days?,"2,200 hours.",,
Flashcards Section 5,Flashcard,What is the maximum number of hours of work allowed for a charter pilot in 28 consecutive days?,192 hours.,,
Flashcards Section 5,Flashcard,What are the maximum work hours in 7 consecutive days if provided standard days free from duty?,60 hours in 7 consecutive days (requires 1 single day free in 168 hours and 4 single days free in 672 hours).,,
Flashcards Section 5,Flashcard,Under what specific conditions can the 7-day work limit be extended to 70 hours?,"If provided 120 consecutive hours free in 504 consecutive hours, not assigned early/late/night duty, FDP <= 12 hours, and max 24 hours of work in any 48 hours.",,
Flashcards Section 5,Flashcard,What percentage of reserve availability period time is counted as 'hours of work'?,33% of the time that they are in a reserve availability period.,,
Flashcards Section 5,Flashcard,What percentage of standby duty time is counted as 'hours of work'?,100% of the time that they are on standby.,,
Flashcards Section 5,Flashcard,What are the standard rest requirements for charter flight crew when ending FDP at home base?,"12 hours, OR 11 hours plus travel time, OR 10 hours if suitable accommodation is provided by the air operator.",,
Flashcards Section 5,Flashcard,What is the minimum rest period for charter flight crew when ending FDP away from home base?,10 hours in suitable accommodation.,,
Flashcards Section 5,Flashcard,How does split flight duty affect the maximum Flight Duty Period (FDP) of charter crew?,"FDP can be extended by 100% of a break provided between 24:00 and 05:59, or 50% of a break provided between 06:00 and 23:59 (break must be >= 60 min, and is reduced by 45 min before calculation).",,
Flashcards Section 5,Flashcard,"If split flight duty is assigned to night duty FDP, how many consecutive nights is it limited to?",FDP may only be extended under split duty for three consecutive nights.,,
Flashcards Section 5,Flashcard,"What rest period is required at the end of consecutive early, late, or night FDP flights?","Must not assign more than three consecutive FDPs if any part falls between 02:00 and 05:59, unless provided with one local night's rest at the end of the third period.",,
Flashcards Section 5,Flashcard,"Under unforeseen operational circumstances, what is the maximum FDP extension for an unaugmented multi-pilot crew?",The PIC may extend the FDP by up to two hours (subsequent rest must be extended by at least the extension amount).,,
Flashcards Section 5,Flashcard,What is the maximum duration of a reserve availability period?,14 consecutive hours.,,
Flashcards Section 5,Flashcard,What is the minimum rest period between reserve availability periods?,At least 10 consecutive hours.,,
Flashcards Section 5,Flashcard,What is the maximum reserve duty period for a charter pilot if the reserve availability starts between 02:00 and 17:59?,18 consecutive hours.,,
Flashcards Section 5,Flashcard,What are the Medevac flight time limitations for 7 consecutive days?,40 hours in any 7 consecutive days (Subpart 4 or 5 unpressurized/pressurized aircraft).,,
Flashcards Section 5,Flashcard,What is the 30-day flight time limitation for Medevac flight crew (including 'on call' pilots)?,"120 hours in any 30 consecutive days, OR 100 hours in 30 consecutive days if on call.",,
